CustomerID,CustomerName,Segment,City,State,Region
1,Jennifer Fritz,Home Office,Lake Daniel,Virginia,North
2,David Spears,Home Office,North Roger,Tennessee,West
3,Fernando West,Consumer,Kimberlybury,Pennsylvania,East
4,Linda Norman,Home Office,West Jonathanberg,Maryland,South
5,James Thomas,Corporate,Barbaraland,Delaware,West
6,Denise Mann,Consumer,Lake Amber,California,North
7,Timothy Mccormick,Consumer,North Matthew,Idaho,North
8,Joseph Parker,Corporate,New Justin,Connecticut,North
9,Keith Humphrey,Home Office,Lake Amandatown,West Virginia,South
10,Jasmine Preston,Consumer,East David,Nebraska,North
11,Ashley Bates,Corporate,West Andrewside,Georgia,South
12,Elizabeth Jackson,Consumer,Jacobside,Kansas,East
13,Samantha Garcia,Consumer,Michelleport,Kentucky,South
14,Bobby Wade,Corporate,East Sierra,New Mexico,West
15,Aaron James,Corporate,Shepardhaven,Missouri,North
16,Cory Garcia,Home Office,North Samantha,Montana,North
17,Daniel Miller,Home Office,Elizabethton,Kentucky,East
18,Emily Shannon,Home Office,Peterstad,South Dakota,North
19,Darren Salazar,Corporate,Bergermouth,Tennessee,East
20,Carla Bennett,Home Office,Grayberg,Delaware,South
21,Sarah Gentry,Home Office,Ramirezchester,Oregon,West
22,Anna Johnson,Home Office,South Ashley,Missouri,East
23,Chelsea Cline,Home Office,Lake Jaime,Oklahoma,South
24,William Garza,Consumer,Stevenberg,California,North
25,Juan Wolfe,Consumer,Davidbury,Wisconsin,South
26,Ryan Gonzalez,Consumer,Bowenhaven,Georgia,South
27,Brenda Hurst,Corporate,South Colleentown,Ohio,North
28,Brittany Hall,Corporate,New Edwardville,South Carolina,East
29,Scott Walker,Home Office,Parksport,Oklahoma,North
30,Grant Chapman,Corporate,New Jessicatown,Alaska,North
31,Tracy Reyes,Consumer,Christineview,Wyoming,West
32,Nicholas Reynolds,Consumer,Fraziermouth,New Jersey,East
33,Dr. Anna Rodriguez MD,Corporate,Andrewtown,Oklahoma,South
34,Dana Moran,Home Office,Port Stephanieville,Illinois,North
35,Louis Whitehead,Consumer,New Debra,South Dakota,North
36,Bradley Figueroa,Corporate,West Brentshire,Vermont,West
37,Steven Johnson,Corporate,North Williamside,Louisiana,West
38,Michael Cisneros,Consumer,Tracytown,Oklahoma,East
39,Cynthia Wagner,Home Office,New Coreystad,Alabama,South
40,Steven Lee,Home Office,Jenniferfort,Delaware,North
41,Anthony Johnson,Consumer,North Patricia,North Dakota,South
42,Michael Moore,Home Office,Lake Terri,New Jersey,North
43,Blake Buchanan,Home Office,West Kevin,Oklahoma,West
44,Kathryn White,Corporate,Port Michaelborough,New Mexico,South
45,Nicholas Walker,Consumer,Snyderton,Colorado,West
46,Jaime Edwards,Corporate,Port Robert,Arkansas,South
47,Douglas Murphy,Consumer,South Christineberg,North Dakota,East
48,Curtis Dorsey,Corporate,Jamesmouth,California,West
49,Gregory Sullivan,Consumer,South Brandon,Kentucky,East
50,Carol Ford,Consumer,West Davidshire,Utah,North
51,Lydia Flores MD,Consumer,Port Charles,Tennessee,West
52,Randy Mitchell,Corporate,North Debrachester,Wisconsin,East
53,Ethan Nelson,Consumer,Lake Gary,Louisiana,East
54,Steven Reeves,Home Office,Lake Samanthamouth,Montana,North
55,Bethany Rogers,Home Office,Williamsborough,Michigan,West
56,Michael Hawkins,Consumer,New Rogerport,Pennsylvania,East
57,Taylor Zhang,Consumer,Lake Sheila,California,North
58,David Pierce,Home Office,South Kimberlyland,Illinois,West
59,Dr. Kelsey Evans DVM,Home Office,Kimberlyton,Alaska,East
60,Amy Rowe,Consumer,Gibbsmouth,Delaware,East
61,Misty Young,Corporate,Shannonside,West Virginia,North
62,Spencer Jones,Home Office,Berryborough,Mississippi,West
63,Victor Rowland,Consumer,West Jamiemouth,Vermont,North
64,Mikayla Stevenson,Corporate,New Georgefurt,Alabama,South
65,Julia Robinson,Corporate,North Richardshire,Kansas,South
66,Paula Booth,Corporate,Smithport,North Dakota,West
67,Brenda Williams,Corporate,Port Kaitlynstad,Maryland,West
68,Christina Hernandez,Consumer,Susanland,South Dakota,East
69,Jordan Bradley,Consumer,Mannshire,Mississippi,East
70,Bryan Rasmussen,Home Office,South Chad,Alabama,East
71,Glenda Sullivan,Home Office,New Richardhaven,Kentucky,South
72,David Smith,Consumer,West Carolborough,South Carolina,East
73,Whitney Hunter,Consumer,Tylerside,Wyoming,East
74,Jimmy Bray,Corporate,Robertburgh,Missouri,West
75,Jeffery Weaver,Consumer,Alexanderhaven,West Virginia,North
76,Lindsey Morgan,Home Office,Lake Nicole,Ohio,North
77,Jennifer Valdez,Consumer,West Michaeltown,South Dakota,East
78,Jenna Robinson,Consumer,Spencerhaven,Massachusetts,East
79,Mary Barron,Consumer,Reginabury,Tennessee,South
80,Daniel Allen,Corporate,East Jenniferstad,Nebraska,North
81,Natalie Rodriguez,Corporate,Mirandaland,West Virginia,North
82,Caitlin Jones,Home Office,Port Shannonstad,Georgia,West
83,Andrea Pennington,Corporate,Lake Kimberlyborough,Delaware,West
84,Anthony Spears,Corporate,Gordonfurt,Vermont,South
85,Amy Cervantes,Consumer,West Gabrielle,Arizona,South
86,Calvin Drake,Home Office,East Christopher,Montana,East
87,John Mullins,Consumer,Nguyentown,Montana,West
88,Ashley Marquez,Consumer,Sandrashire,Hawaii,South
89,Mary White PhD,Corporate,Smithstad,Colorado,South
90,Jordan Henry,Home Office,East Alexanderland,Virginia,North
